Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,536868,8531,7423,15.85,15.6,X ,1.18
230120,536960,2340,2160,33.08,33.14,B ,0.71
230120,536965,2,2,5.4,5.15,XT,0.0
230120,536974,20984,16171,17.3,17.4,X ,2.8
230120,537007,7815,4150,196.16,196.87,B ,8.14
230120,537008,486,313,197.92,199.6,B ,0.62
230120,537069,63098,35609,27.2,26.7,X ,9.69
230120,537253,990,543,81.95,82.5,X ,0.44
230120,537254,2786,2786,5.63,5.49,XT,0.16
230120,537259,1694,1126,394.75,395.35,X ,4.44
230120,537291,2534,2278,160.0,158.2,B ,3.64
230120,537292,31509,23684,118.6,98.85,B ,28.09
230120,537326,1269,929,16.0,16.0,B ,0.15
230120,537392,382,382,18.75,19.2,X ,0.07
230120,537483,371,243,188.56,190.14,B ,0.46
230120,537524,23766,23766,0.79,0.78,Z ,0.19
230120,537536,6677,5426,92.75,96.15,X ,5.03
230120,537573,4800,2400,34.1,34.5,M ,0.82
230120,537582,20000,20000,2.19,2.3,M ,0.44
230120,537707,99938,65132,51.85,49.4,X ,33.77
230120,537708,1184,831,191.8,192.71,B ,1.59
230120,537709,10145,9547,5.93,5.97,X ,0.57
230120,537750,374,322,140.6,143.9,X ,0.45
230120,537766,16971,13240,4.7,4.74,B ,0.62
230120,537785,13125,7500,204.95,205.0,M ,15.37
230120,537800,659866,476990,3.67,3.69,X ,17.51
230120,537820,12036,12036,3.2,3.05,T ,0.39
230120,537839,114,114,56.0,57.95,XT,0.06
230120,537985,122,120,43.75,43.75,X ,0.05
230120,538057,66861,48753,39.07,38.81,A ,19.05
230120,538081,49807,49334,4.8,4.75,X ,2.37
230120,538092,221,94,83.9,81.95,X ,0.08
230120,538119,398765,148094,34.05,36.2,B ,50.43
230120,538180,1374130,1374130,0.65,0.68,Z ,8.93
230120,538212,300809,176125,1.55,1.55,X ,2.73
230120,538268,6263,4498,348.3,351.3,B ,15.67
230120,538273,12212,12212,43.1,41.1,XT,5.26
230120,538319,72000,70000,6.48,5.4,M ,4.54
230120,538351,48054,44296,17.1,17.0,X ,7.57
230120,538365,12901,12901,23.25,23.65,T ,3.0
230120,538382,912,912,797.0,759.05,XT,7.27
230120,538395,5,5,70.5,74.2,XT,0.0
230120,538401,9436,7984,58.1,59.45,X ,4.64
230120,538402,76,76,78.0,81.25,T ,0.06
230120,538446,44266,44216,165.0,165.0,B ,72.96
230120,538464,1306,1106,2.26,2.26,X ,0.02
230120,538476,72313,72313,26.45,26.6,XT,19.13
230120,538496,9000,9000,4.9,4.9,M ,0.44
230120,538521,14100,14100,20.2,20.15,X ,2.85
230120,538539,841,841,5.02,5.05,X ,0.04
230120,538540,29178,19811,1.13,1.16,X ,0.22
230120,538542,5430,5079,7.09,6.45,X ,0.36
230120,538546,1041,730,67.1,67.5,B ,0.49
230120,538562,37086,19793,117.55,118.55,B ,23.27
230120,538564,967,776,260.65,259.35,X ,2.02
230120,538565,5546,4134,367.05,373.25,X ,15.17
