Date,Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment,Segment
230120,230120,ASTRON,180372.0,91478.0,33.45,33.0,30.6,EQ,EQ
230120,230120,ATALREAL,72000.0,48000.0,80.65,80.1,38.71,SM,SM
230120,230120,ATFL,11108.0,4958.0,923.3,943.25,45.78,EQ,EQ
230120,230120,ATGL,447521.0,181214.0,3918.9,3835.55,7101.6,EQ,EQ
230120,230120,ATLANTA,127123.0,80006.0,22.25,22.65,17.8,EQ,EQ
230120,230120,ATUL,146657.0,58648.0,7431.45,7751.8,4358.4,EQ,EQ
230120,230120,ATULAUTO,1326534.0,393343.0,342.55,360.1,1347.4,EQ,EQ
230120,230120,AUBANK,1583943.0,542812.0,616.35,621.25,3345.62,EQ,EQ
230120,230120,AURIONPRO,30593.0,15694.0,372.65,384.05,58.48,EQ,EQ
230120,230120,AUROPHARMA,827992.0,364286.0,444.7,445.2,1619.98,EQ,EQ
230120,230120,AURUM,57286.0,45636.0,122.6,122.05,55.95,EQ,EQ
230120,230120,AUSOMENT,104751.0,27663.0,73.0,69.8,20.19,EQ,EQ
230120,230120,AUTOAXLES,4675.0,2845.0,2095.0,2099.3,59.6,EQ,EQ
230120,230120,AUTOBEES,33051.0,28745.0,128.33,129.07,36.89,EQ,EQ
230120,230120,AUTOIND,55275.0,37933.0,76.05,76.6,28.85,EQ,EQ
230120,230120,AVADHSUGAR,27658.0,14174.0,499.65,505.35,70.82,EQ,EQ
230120,230120,AVANTIFEED,62763.0,33996.0,386.4,386.0,131.36,EQ,EQ
230120,230120,AVG,1200.0,1200.0,110.0,109.9,1.32,SM,SM
230120,230120,AVONMORE,17872.0,11859.0,73.75,73.1,8.75,EQ,EQ
230120,230120,AVTNPL,88981.0,40800.0,102.75,103.65,41.92,EQ,EQ
230120,230120,AWHCL,105888.0,67423.0,289.9,297.2,195.46,EQ,EQ
230120,230120,AWL,668493.0,369391.0,554.45,558.35,2048.09,EQ,EQ
230120,230120,AXISBANK,4511360.0,2221863.0,930.55,928.7,20675.55,EQ,EQ
230120,230120,AXISBNKETF,943.0,850.0,427.61,425.36,3.63,EQ,EQ
230120,230120,AXISBPSETF,9310.0,7254.0,10.69,10.67,0.78,EQ,EQ
230120,230120,AXISCADES,27908.0,15592.0,337.4,342.5,52.61,EQ,EQ
230120,230120,AXISCETF,218.0,163.0,74.43,75.28,0.12,EQ,EQ
230120,230120,AXISGOLD,49197.0,31405.0,48.79,48.46,15.32,EQ,EQ
230120,230120,AXISHCETF,2132.0,589.0,80.29,81.2,0.47,EQ,EQ
230120,230120,AXISILVER,6019.0,3140.0,69.95,69.07,2.2,EQ,EQ
230120,230120,AXISNIFTY,1209.0,761.0,191.54,192.06,1.46,EQ,EQ
230120,230120,AXISTECETF,3566.0,3050.0,306.2,307.34,9.34,EQ,EQ
230120,230120,AXITA,1070759.0,563847.0,55.7,54.3,314.06,EQ,EQ
230120,230120,AYMSYNTEX,13623.0,6857.0,69.85,69.95,4.79,EQ,EQ
230120,230120,BAGFILMS,179583.0,59883.0,4.85,4.8,2.9,EQ,EQ
230120,230120,BAHETI,21000.0,15000.0,120.45,124.8,18.07,SM,SM
230120,230120,BAIDFIN,461399.0,187499.0,29.4,29.55,55.12,EQ,EQ
230120,230120,BAJAJ-AUTO,191361.0,128568.0,3572.75,3575.95,4593.41,EQ,EQ
230120,230120,BAJAJCON,269321.0,176925.0,174.55,174.1,308.82,EQ,EQ
230120,230120,BAJAJELEC,13946.0,6001.0,1135.65,1142.25,68.15,EQ,EQ
230120,230120,BAJAJFINSV,2091612.0,1007140.0,1333.2,1355.15,13427.19,EQ,EQ
230120,230120,BAJAJHCARE,42276.0,18738.0,412.8,409.5,77.35,EQ,EQ
230120,230120,BAJAJHIND,2825951.0,1806204.0,15.75,15.9,284.48,EQ,EQ
230120,230120,BAJAJHLDNG,34072.0,20163.0,5581.15,5651.15,1125.33,EQ,EQ
230120,230120,BAJFINANCE,833090.0,390050.0,5860.4,6012.45,22858.49,EQ,EQ
230120,230120,BALAJITELE,20721.0,10565.0,43.1,43.1,4.55,EQ,EQ
230120,230120,BALAMINES,45283.0,27722.0,2380.45,2427.95,659.91,EQ,EQ
230120,230120,BALAXI,673.0,411.0,572.45,573.0,2.35,EQ,EQ
230120,230120,BALKRISIND,67099.0,27741.0,2225.35,2216.85,617.33,EQ,EQ
230120,230120,BALMLAWRIE,114597.0,61983.0,124.15,123.8,76.95,EQ,EQ
230120,230120,BALPHARMA,31696.0,15604.0,88.75,89.85,13.85,EQ,EQ
230120,230120,BALRAMCHIN,858972.0,256561.0,389.6,392.35,999.56,EQ,EQ
230120,230120,BANARBEADS,18764.0,13695.0,84.65,86.0,11.59,EQ,EQ
230120,230120,BANARISUG,5282.0,4399.0,2749.25,2750.85,120.94,EQ,EQ
230120,230120,BANCOINDIA,28302.0,15617.0,200.3,201.45,31.28,EQ,EQ
230120,230120,BANDHANBNK,7048865.0,2294913.0,237.15,236.25,5442.39,EQ,EQ
230120,230120,BANG,260365.0,70091.0,49.45,48.15,34.66,EQ,EQ
230120,230120,BANKA,75287.0,35074.0,86.5,82.6,30.34,EQ,EQ
230120,230120,BANKBARODA,20620881.0,6858398.0,179.35,177.9,12300.54,EQ,EQ
230120,230120,BANKBEES,297481.0,116687.0,430.59,428.67,502.44,EQ,EQ
230120,230120,BANKINDIA,16244437.0,6287893.0,90.2,90.05,5671.68,EQ,EQ
230120,230120,BANSWRAS,31715.0,18298.0,125.95,127.7,23.05,EQ,EQ
230120,230120,BARBEQUE,102145.0,76240.0,892.0,887.55,680.06,EQ,EQ
230120,230120,BASF,20239.0,15240.0,2609.2,2632.25,397.64,EQ,EQ
230120,230120,BASML,54700.0,35454.0,49.8,50.1,17.66,EQ,EQ
230120,230120,BATAINDIA,163504.0,78159.0,1565.95,1585.8,1223.93,EQ,EQ
230120,230120,BAYERCROP,4277.0,1939.0,4629.55,4688.8,89.77,EQ,EQ
230120,230120,BBETF0432,19113.0,17058.0,1035.47,1036.94,176.63,EQ,EQ
230120,230120,BBL,21889.0,15621.0,2483.65,2441.55,387.97,EQ,EQ
230120,230120,BBOX,19752.0,12944.0,131.35,131.95,17.0,EQ,EQ
230120,230120,BBTC,25203.0,16384.0,900.25,915.35,147.5,EQ,EQ
230120,230120,BBTCL,24537.0,14498.0,267.85,279.4,38.83,EQ,EQ
230120,230120,BCG,5779458.0,2321360.0,27.9,28.05,647.66,EQ,EQ
230120,230120,BCLIND,141674.0,71990.0,456.05,453.95,328.31,EQ,EQ
230120,230120,BCP,103094.0,79974.0,4.7,4.75,3.76,EQ,EQ
230120,230120,BDL,413110.0,124710.0,935.4,925.9,1166.54,EQ,EQ
230120,230120,BEARDSELL,52691.0,34907.0,24.2,24.8,8.45,EQ,EQ
230120,230120,BECTORFOOD,407658.0,214015.0,473.2,475.1,1012.72,EQ,EQ
230120,230120,BEDMUTHA,3427.0,2084.0,62.7,61.95,1.31,EQ,EQ
230120,230120,BEL,7912700.0,4279026.0,101.8,102.85,4356.05,EQ,EQ
230120,230120,BEML,36150.0,11643.0,1502.75,1503.15,174.97,EQ,EQ
230120,230120,BEPL,279732.0,140363.0,114.55,116.65,160.79,EQ,EQ
230120,230120,BERGEPAINT,842518.0,422759.0,557.15,563.65,2355.4,EQ,EQ
230120,230120,BESTAGRO,107271.0,38305.0,1313.6,1350.4,503.17,EQ,EQ
230120,230120,BETA,4400.0,3400.0,681.9,650.0,23.18,SM,SM
230120,230120,BEWLTD,1500.0,1250.0,720.0,709.45,9.0,SM,SM
230120,230120,BFINVEST,27636.0,15910.0,342.25,337.0,54.45,EQ,EQ
230120,230120,BFUTILITIE,112344.0,41898.0,380.3,378.0,159.34,EQ,EQ
230120,230120,BGRENERGY,172404.0,83375.0,58.7,58.2,48.94,EQ,EQ
230120,230120,BHAGCHEM,2765.0,1989.0,1267.75,1254.0,25.22,EQ,EQ
230120,230120,BHAGERIA,17103.0,8601.0,151.5,153.65,13.03,EQ,EQ
230120,230120,BHAGYANGR,27692.0,17396.0,48.15,48.15,8.38,EQ,EQ
230120,230120,BHANDARI,192212.0,108175.0,5.45,5.45,5.9,EQ,EQ
230120,230120,BHARATFORG,956488.0,429367.0,861.35,874.35,3698.35,EQ,EQ
230120,230120,BHARATGEAR,37498.0,22101.0,135.75,136.7,30.0,EQ,EQ
230120,230120,BHARATRAS,451.0,251.0,9418.5,9443.15,23.64,EQ,EQ
230120,230120,BHARATWIRE,1395396.0,659596.0,115.2,107.95,759.85,EQ,EQ
230120,230120,BHARTIARTL,6289718.0,4519487.0,764.45,772.0,34549.22,EQ,EQ
230120,230120,BHEL,34188777.0,7637551.0,80.8,80.0,6171.14,EQ,EQ
230120,230120,BIGBLOC,17876.0,10735.0,134.2,131.4,14.41,EQ,EQ
230120,230120,BIKAJI,182600.0,81867.0,419.1,416.45,343.1,EQ,EQ
230120,230120,BIL,3773.0,718.0,204.1,207.1,1.47,EQ,EQ
230120,230120,BINDALAGRO,90284.0,61620.0,24.85,24.95,15.31,EQ,EQ
230120,230120,BIOCON,1225843.0,631421.0,244.95,249.2,1546.67,EQ,EQ
230120,230120,BIOFILCHEM,22457.0,14164.0,54.3,54.9,7.69,EQ,EQ
230120,230120,BIRLACABLE,77502.0,22245.0,148.0,147.15,32.92,EQ,EQ
230120,230120,BIRLACORPN,32994.0,20943.0,951.65,972.9,199.3,EQ,EQ
230120,230120,BIRLAMONEY,97581.0,69052.0,57.7,58.7,39.84,EQ,EQ
230120,230120,BLBLIMITED,72627.0,34591.0,30.45,30.7,10.53,EQ,EQ
230120,230120,BLISSGVS,51964.0,28811.0,73.1,73.05,21.06,EQ,EQ
230120,230120,BLKASHYAP,151949.0,126200.0,31.95,32.9,40.32,EQ,EQ
230120,230120,BLS,1045456.0,355053.0,182.05,182.65,646.37,EQ,EQ
230120,230120,BLUEDART,5315.0,1899.0,7118.7,7203.1,135.18,EQ,EQ
230120,230120,BLUESTARCO,32191.0,16568.0,1216.5,1239.75,201.55,EQ,EQ
230120,230120,BMETRICS,4800.0,4000.0,511.15,538.05,20.45,SM,SM
230120,230120,BODALCHEM,112792.0,73352.0,74.2,75.15,54.43,EQ,EQ
230120,230120,BOMDYEING,465272.0,190618.0,76.2,76.85,145.25,EQ,EQ
230120,230120,BOROLTD,22915.0,14391.0,354.65,355.05,51.04,EQ,EQ
230120,230120,BORORENEW,58425.0,30151.0,485.4,490.1,146.35,EQ,EQ
230120,230120,BOSCHLTD,13266.0,6946.0,16954.55,17140.7,1177.66,EQ,EQ
230120,230120,BPCL,1996775.0,931466.0,346.35,349.65,3226.13,EQ,EQ
230120,230120,BPL,360343.0,94224.0,69.65,69.85,65.63,EQ,EQ
230120,230120,BRIGADE,76410.0,31351.0,455.05,454.75,142.66,EQ,EQ
230120,230120,BRIGHT,1875000.0,1155000.0,7.6,7.25,87.78,SM,SM
230120,230120,BRITANNIA,154486.0,83913.0,4318.95,4372.4,3624.16,EQ,EQ
230120,230120,BRNL,169827.0,45976.0,37.5,36.7,17.24,EQ,EQ
230120,230120,BROOKS,24913.0,20218.0,102.05,97.2,20.63,EQ,EQ
230120,230120,BSE,265419.0,112897.0,521.4,519.8,588.64,EQ,EQ
230120,230120,BSLGOLDETF,37897.0,32743.0,51.43,51.01,16.84,EQ,EQ
230120,230120,BSLNIFTY,57566.0,36576.0,20.3,20.37,7.42,EQ,EQ
230120,230120,BSLSENETFG,401.0,303.0,58.43,58.58,0.18,EQ,EQ
230120,230120,BSOFT,878033.0,239187.0,291.7,294.8,697.71,EQ,EQ
230120,230120,BTML,90000.0,66000.0,159.6,168.0,105.34,SM,SM
230120,230120,BURNPUR,108905.0,70970.0,5.45,5.45,3.87,EQ,EQ
230120,230120,BUTTERFLY,1058.0,545.0,1491.0,1507.6,8.13,EQ,EQ
230120,230120,BVCL,17277.0,2911.0,24.65,24.9,0.72,EQ,EQ
