Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,543524,3522,1607,769.65,751.15,12.37,B 
230210,543525,2516,659,334.05,327.95,2.2,B 
230210,543526,339889,122436,620.1,613.35,759.23,A 
230210,543527,1286,320,911.7,890.35,2.92,B 
230210,543528,1979,1292,730.05,734.75,9.43,B 
230210,543529,26571,6533,315.75,317.75,20.63,A 
230210,543530,97497,23940,58.35,57.95,13.97,B 
230210,543531,1602,839,138.9,135.45,1.17,B 
230210,543532,438,215,1007.75,987.9,2.17,B 
230210,543533,17135,12098,265.7,267.6,32.14,B 
230210,543534,2663,2275,897.85,898.95,20.43,B 
230210,543535,967,943,45.0,44.9,0.42,B 
230210,543537,2000,2000,55.1,54.0,1.1,M 
230210,543540,1800,1200,182.0,180.0,2.18,M 
230210,543544,11250,10500,401.7,365.2,42.18,M 
230210,543545,120000,66000,133.15,129.35,87.88,M 
230210,543547,42982,25288,95.75,97.35,24.21,B 
230210,543563,278,271,22.65,22.27,0.06,B 
230210,543568,73,73,18.61,18.74,0.01,B 
230210,543569,1,1,177.0,177.0,0.0,B 
230210,543570,70,22,385.25,391.8,0.08,B 
230210,543571,1,1,51.66,51.76,0.0,B 
230210,543572,230,215,65.1,66.5,0.14,E 
230210,543573,42517,12846,275.15,265.2,35.35,B 
230210,543574,3028,924,14.17,14.22,0.13,B 
230210,543575,8,6,18.31,18.42,0.0,B 
230210,543577,4,1,119.38,120.0,0.0,B 
230210,543590,70000,32000,405.25,386.2,129.68,M 
230210,543591,6676,3967,397.85,403.8,15.78,B 
230210,543592,1810,1403,65.61,68.36,0.92,E 
230210,543593,8356,2322,156.55,153.7,3.64,B 
230210,543594,3000,3000,17.5,17.5,0.52,M 
230210,543595,13000,12000,240.0,218.2,28.8,M 
230210,543596,13195,8068,458.4,455.4,36.98,B 
230210,543597,28000,20000,169.0,169.45,33.8,M 
230210,543599,1896,1057,427.6,428.1,4.52,B 
230210,543600,3317,1697,373.75,367.3,6.34,B 
230210,543605,36,33,38.51,39.0,0.01,B 
230210,543606,16000,16000,79.35,83.5,12.7,M 
230210,543607,25,21,87.7,87.89,0.02,B 
230210,543608,158,146,96.0,96.3,0.14,B 
230210,543613,20000,12000,19.6,19.0,2.35,M 
230210,543614,403,374,440.05,434.9,1.65,B 
230210,543615,16000,12800,161.5,162.4,20.67,M 
230210,543616,36000,33600,151.1,142.0,50.77,M 
230210,543619,14000,10000,232.0,218.0,23.2,M 
230210,543620,9000,3000,135.5,137.0,4.07,M 
230210,543621,4000,4000,56.0,54.8,2.24,M 
230210,543622,30000,30000,152.05,155.4,45.62,M 
230210,543623,9000,3000,49.9,51.85,1.5,M 
230210,543624,4000,4000,33.95,32.8,1.36,M 
230210,543625,5771,2867,23.25,23.2,0.67,B 
230210,543626,274645,98530,76.1,77.95,74.98,B 
230210,543635,855092,294995,88.6,89.25,261.37,B 
230210,543636,262,262,126.2,122.4,0.33,T 
230210,543637,50400,46800,22.85,23.2,10.69,M 
230210,543638,366814,182023,83.35,86.15,151.72,B 
230210,543643,63391,20818,27.35,26.4,5.69,B 
230210,543644,262,232,541.9,538.95,1.26,B 
230210,543645,56,50,96.2,95.05,0.05,B 
230210,543650,44643,25013,171.55,174.9,42.91,B 
230210,543651,4000,4000,29.0,29.0,1.16,M 
230210,543652,81904,33010,415.4,429.2,137.12,B 
230210,543653,10719,3256,381.65,379.9,12.43,B 
230210,543654,50277,22390,454.45,450.15,101.75,B 
230210,543656,24000,12000,105.0,105.55,12.6,M 
230210,543657,35922,12180,645.7,626.2,78.65,B 
230210,543663,334363,301890,602.7,580.45,1819.49,B 
230210,543664,28055,10829,837.9,883.25,90.74,B 
230210,543665,7,7,310.26,310.28,0.02,B 
230210,543667,57877,26861,47.15,48.3,12.66,B 
230210,543668,242934,218975,243.45,258.15,533.09,B 
230210,543669,834,564,482.95,484.05,2.72,B 
230210,543670,7089,7089,274.15,269.65,19.43,T 
230210,543671,1854,1629,64.6,64.15,1.05,B 
230210,543677,2040,2039,16.66,16.63,0.34,B 
230210,543678,20000,12000,34.7,35.0,4.16,M 
230210,543686,1666,765,647.85,657.55,4.96,B 
230210,543687,59957,16125,170.1,164.65,27.43,B 
230210,543688,2525,2096,72.25,74.05,1.51,B 
230210,543689,5712,2617,558.95,562.3,14.63,B 
230210,543699,277,272,1009.0,1007.76,2.74,F 
230210,543700,3,1,207.7,207.81,0.0,F 
230210,543709,8000,8000,146.35,154.05,11.71,M 
230210,543711,326637,88103,409.95,397.3,361.18,B 
230210,543712,1792,1403,241.15,236.35,3.38,B 
230210,543713,124000,66000,156.25,148.85,103.12,M 
230210,543714,48819,13034,646.85,623.5,84.31,B 
230210,543715,219988,172843,15.5,14.8,26.79,B 
230210,543720,8225,3854,319.15,316.85,12.3,B 
230210,543725,4953,2577,188.25,189.5,4.85,B 
230210,543732,15426,9674,105.65,104.45,10.22,B 
230210,543737,4166,2991,311.1,296.3,9.31,B 
230210,543738,30,16,41.73,41.35,0.01,B 
230210,543743,8769,3087,81.4,82.1,2.51,B 
230210,543744,11000,8000,155.95,169.9,12.48,M 
230210,543745,96000,54000,11.79,11.52,6.37,M 
230210,543746,600,600,247.0,250.0,1.48,M 
230210,543747,11495,4602,168.6,169.65,7.76,B 
230210,543748,81743,81743,311.85,324.85,254.92,T 
230210,543753,78000,78000,20.75,20.5,16.18,MT
230210,543754,27200,27200,74.75,73.85,20.33,MT
230210,543765,99000,99000,63.6,60.6,62.96,MT
230210,555555,163,152,668.91,671.21,1.02,A 
230210,570001,83792,27135,224.3,221.3,60.86,A 
230210,570002,2933,2355,6.53,6.48,0.15,B 
230210,570004,11244,3178,17.65,17.5,0.56,B 
230210,570005,53499,44868,9.93,10.19,4.46,B 
230210,590003,105331,43250,103.95,104.3,44.96,B 
230210,590005,1291,881,984.75,981.6,8.68,B 
230210,590006,852,695,713.2,709.1,4.96,B 
230210,590013,14394,7780,563.1,552.35,43.81,B 
230210,590018,16923,6719,169.05,178.35,11.36,B 
230210,590021,63,44,8917.3,9008.3,3.92,B 
230210,590022,563,563,3.17,3.26,0.02,T 
230210,590024,54205,13594,273.05,270.1,37.12,B 
230210,590025,5374,5280,29.15,28.7,1.54,B 
230210,590030,163933,74135,69.0,69.0,51.15,B 
230210,590031,931,620,874.1,886.3,5.42,B 
230210,590041,9391,9365,6.53,6.57,0.61,B 
230210,590051,296798,220085,145.25,148.1,319.67,B 
230210,590056,36,23,250.0,240.85,0.06,B 
230210,590057,371,371,42.75,42.3,0.16,T 
230210,590062,7499,4205,128.1,127.8,5.39,B 
230210,590065,23,22,718.4,714.15,0.16,B 
230210,590066,13408,5858,101.55,102.25,5.95,B 
230210,590068,120,120,45.95,46.95,0.06,T 
230210,590071,126,57,2322.5,2317.0,1.32,B 
230210,590072,272,232,316.85,317.85,0.74,B 
230210,590073,911,629,532.0,525.35,3.35,B 
230210,590075,4505,1501,142.15,140.7,2.13,B 
230210,590078,5445,2584,1025.25,1038.75,26.49,B 
230210,590082,169,168,170.7,166.1,0.29,X 
230210,590086,1071,448,2696.8,2673.75,12.08,B 
230210,590095,341193,223115,48.67,49.11,108.59,E 
230210,590096,15485,13714,1000.01,1000.01,137.14,F 
230210,590097,10447,8602,48.95,49.22,4.21,E 
230210,590098,20343,14997,50.06,50.55,7.51,E 
230210,590099,2099,1270,48.46,48.86,0.62,E 
230210,590101,16991,15722,48.8,49.15,7.67,E 
230210,590103,101100,80907,195.45,195.9,158.13,B 
230210,590104,15816,11784,410.53,409.16,48.38,B 
230210,590106,11056,8510,420.2,420.21,35.76,B 
230210,590107,1870,1384,391.2,387.11,5.41,B 
230210,590108,64848,32789,43.47,43.23,14.25,B 
230210,590109,631,612,412.83,414.5,2.53,B 
230210,590110,2,0,1888.0,1894.0,0.0,B 
230210,590113,432,159,308.32,309.96,0.49,E 
230210,590115,44,40,178.91,179.1,0.07,B 
230210,590122,360,350,32.5,32.65,0.11,X 
230210,590126,17589,17589,6.48,6.18,1.14,XT
230210,590134,12743,6331,57.1,58.0,3.62,B 
230210,590136,2048,2037,420.44,421.18,8.56,B 
230210,590137,2112,2071,416.06,416.45,8.62,B 
230210,590138,1868,1510,184.75,185.13,2.79,B 
