Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,KCP,387592.0,110704.0,101.8,102.1,112.7,EQ
230210,KCPSUGIND,663868.0,228756.0,26.4,25.6,60.39,EQ
230210,KDDL,35144.0,17084.0,1117.05,1071.8,190.84,EQ
230210,KEC,238613.0,111112.0,476.8,464.25,529.78,EQ
230210,KECL,159590.0,107238.0,68.35,70.7,73.3,EQ
230210,KEI,112926.0,60158.0,1676.65,1639.75,1008.64,EQ
230210,KENNAMET,5911.0,3504.0,2372.6,2357.4,83.14,EQ
230210,KESORAMIND,437987.0,233391.0,57.45,57.55,134.08,EQ
230210,KEYFINSERV,869.0,556.0,99.8,100.85,0.55,EQ
230210,KFINTECH,48826.0,25856.0,318.9,316.85,82.45,EQ
230210,KHADIM,28252.0,19221.0,213.4,215.8,41.02,EQ
230210,KHAICHEM,99465.0,63881.0,63.8,63.8,40.76,EQ
230210,KHFM,55800.0,49600.0,37.0,46.5,18.35,SM
230210,KICL,12578.0,9251.0,2011.3,1967.2,186.07,EQ
230210,KILITCH,1125.0,641.0,144.25,142.3,0.92,EQ
230210,KIMS,20096.0,8537.0,1468.7,1455.55,125.38,EQ
230210,KINGFA,23093.0,15669.0,1436.3,1373.7,225.05,EQ
230210,KIOCL,33545.0,15788.0,203.4,201.0,32.11,EQ
230210,KIRIINDUS,130085.0,77191.0,305.2,305.45,235.59,EQ
230210,KIRLFER,101003.0,49562.0,376.0,387.75,186.35,EQ
230210,KIRLOSBROS,2172890.0,502828.0,393.4,354.55,1978.13,EQ
230210,KIRLOSENG,668190.0,228948.0,315.25,327.0,721.76,EQ
230210,KIRLOSIND,4230.0,2034.0,2103.1,2106.45,42.78,EQ
230210,KITEX,45777.0,24094.0,174.65,173.6,42.08,EQ
230210,KKCL,29260.0,19081.0,449.15,450.7,85.7,EQ
230210,KMSUGAR,199070.0,112359.0,26.75,26.4,30.06,EQ
230210,KNAGRI,3200.0,3200.0,130.0,127.0,4.16,SM
230210,KNRCON,483127.0,209445.0,262.65,267.45,550.11,EQ
230210,KOHINOOR,320631.0,170854.0,61.75,61.55,105.5,EQ
230210,KOKUYOCMLN,42373.0,20570.0,70.35,70.95,14.47,EQ
230210,KOLTEPATIL,84207.0,20212.0,269.4,267.2,54.45,EQ
230210,KOPRAN,268832.0,66435.0,121.2,122.85,80.52,EQ
230210,KORE,21000.0,19000.0,231.75,243.95,44.03,SM
230210,KOTAKALPHA,131785.0,79789.0,25.57,25.62,20.4,EQ
230210,KOTAKBANK,1445942.0,981869.0,1772.05,1770.9,17399.21,EQ
230210,KOTAKBKETF,28931.0,25101.0,422.0,421.87,105.93,EQ
230210,KOTAKCONS,2002.0,2002.0,73.6,73.5,1.47,EQ
230210,KOTAKGOLD,350526.0,217205.0,48.94,49.39,106.3,EQ
230210,KOTAKIT,4198748.0,4188876.0,31.92,32.02,1337.09,EQ
230210,KOTAKLOVOL,14102.0,6195.0,13.69,13.41,0.85,EQ
230210,KOTAKMID50,214.0,204.0,88.22,88.34,0.18,EQ
230210,KOTAKMNC,1615.0,1232.0,19.64,19.54,0.24,EQ
230210,KOTAKNIFTY,15133.0,12126.0,190.17,190.46,23.06,EQ
230210,KOTAKNV20,5919.0,3615.0,105.45,105.87,3.81,EQ
230210,KOTAKPSUBK,20785.0,9462.0,390.84,387.49,36.98,EQ
230210,KOTAKSILVE,5179.0,1184.0,66.22,67.88,0.78,EQ
230210,KOTARISUG,165226.0,83786.0,39.55,39.6,33.14,EQ
230210,KOTHARIPET,56569.0,32512.0,70.1,70.95,22.79,EQ
230210,KOTHARIPRO,2305.0,1491.0,113.2,113.75,1.69,EQ
230210,KOTYARK,8400.0,6200.0,385.1,394.65,23.88,SM
230210,KOVAI,2756.0,1904.0,1736.6,1750.5,33.06,EQ
230210,KPIGREEN,166153.0,84113.0,476.35,490.3,400.67,EQ
230210,KPITTECH,3862427.0,1102025.0,855.45,817.25,9427.27,EQ
230210,KPRMILL,422452.0,161656.0,580.75,581.35,938.82,EQ
230210,KRBL,375318.0,105536.0,385.2,371.45,406.52,EQ
230210,KREBSBIO,3804.0,2107.0,93.85,96.1,1.98,EQ
230210,KRIDHANINF,10465.0,6888.0,3.15,3.2,0.22,EQ
230210,KRISHANA,20887.0,15349.0,458.55,458.1,70.38,EQ
230210,KRISHIVAL,15000.0,12000.0,284.0,272.05,34.08,SM
230210,KRISHNADEF,20000.0,20000.0,156.0,158.85,31.2,SM
230210,KRITI,46711.0,20770.0,90.8,90.25,18.86,EQ
230210,KRITIKA,99436.0,83321.0,9.95,9.8,8.29,EQ
230210,KRITINUT,11734.0,6087.0,48.85,48.65,2.97,EQ
230210,KRSNAA,36685.0,22936.0,426.0,438.35,97.71,EQ
230210,KSB,27432.0,10995.0,1852.55,1789.5,203.69,EQ
230210,KSCL,47932.0,22746.0,529.4,511.75,120.42,EQ
230210,KSL,34268.0,21812.0,322.1,330.5,70.26,EQ
230210,KSOLVES,12692.0,7035.0,426.95,427.05,30.04,EQ
230210,KTKBANK,903067.0,529146.0,144.6,145.25,765.15,EQ
230210,KUANTUM,30605.0,13840.0,130.1,130.0,18.01,EQ
230210,LAGNAM,71754.0,56746.0,61.2,57.5,34.73,EQ
230210,LALPATHLAB,68888.0,16555.0,1966.4,1968.1,325.54,EQ
230210,LAMBODHARA,51931.0,20496.0,142.0,141.0,29.1,EQ
230210,LANCER,94785.0,37105.0,190.35,193.05,70.63,EQ
230210,LANDMARK,189581.0,79785.0,646.0,624.3,515.41,EQ
230210,LAOPALA,74952.0,46539.0,377.8,372.6,175.82,EQ
230210,LASA,35921.0,21529.0,26.25,26.4,5.65,EQ
230210,LATENTVIEW,126383.0,64868.0,364.2,369.8,236.25,EQ
230210,LATTEYS,12500.0,12500.0,33.05,157.5,4.13,SM
230210,LAURUSLABS,767256.0,241577.0,340.05,338.35,821.48,EQ
230210,LAXMICOT,3187.0,2235.0,21.5,21.3,0.48,EQ
230210,LAXMIMACH,1959.0,845.0,11405.7,11430.4,96.38,EQ
230210,LCCINFOTEC,122819.0,93144.0,2.05,2.0,1.91,EQ
230210,LEMERITE,3200.0,3200.0,58.95,57.55,1.89,SM
230210,LEMONTREE,5441846.0,2815863.0,77.0,76.0,2168.21,EQ
230210,LFIC,6095.0,2898.0,116.35,120.65,3.37,EQ
230210,LGBBROSLTD,26729.0,14331.0,663.5,660.7,95.09,EQ
230210,LGBFORGE,90160.0,56541.0,9.7,9.8,5.48,EQ
230210,LIBAS,95070.0,76369.0,16.7,17.0,12.75,EQ
